name,data_id,nsin,isin,initial_fee,ongoing_charges,capitalization,type,investment_focus,volume,performance_cy,performance_1y,performance_3y,performance_5y,volatility_cy,volatility_1y,volatility_3y,volatility_5y,max_drawdown_cy,max_drawdown_1y,max_drawdown_3y,max_drawdown_5y,months_positive_cy,capitalization_amount,capitalization_currency,performance_1m,performance_6m,volatility_1m,outperformance_3m,outperformance_1y
CANDRIAM-SUSTAINABLE-EQUITY-PACIFIC-I-JPY-ACC-Fonds-LU1434526627,182923430,A2DGHU,LU1434526627,0.0,0.75,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",115.79,1.96,-0.01,11.1,,15.23,24.45,18.45,,-2.99,-30.59,-31.41,,100.0,,,,,,,
CANDRIAM-SUSTAINABLE-EQUITY-NORTH-AMERICA-I-H-CHF-ACC-H-Fonds-LU1434526031,177306237,A2DGJ9,LU1434526031,0.0,0.65,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",771.46,,,,,,,,,,,,,,,,,,,,
LEGG-MASON-CLEARBRIDGE-US-EQUITY-SUSTAINABILITY-LEADERS-S-USD-ACC-Fonds-IE00BZ1BLN67,223590229,A2DGJE,IE00BZ1BLN67,0.0,0.23,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",434.2,-0.34,15.51,,,19.17,32.99,,,-4.71,-31.51,,,,,,,,,,
CANDRIAM-SUSTAINABLE-EQUITY-NORTH-AMERICA-I-H-EUR-ACC-H-Fonds-LU1507501481,177306239,A2DGKA,LU1507501481,0.0,0.65,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",771.46,0.32,19.0,28.13,,15.89,34.49,23.0,,-4.0,-34.77,-34.77,,,,,,,,,
SCHRODER-ISF-QEP-GLOBAL-ESG-A-USD-ACC-Fonds-LU1528092551,177465419,A2DHAR,LU1528092551,5.0,1.64,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",403.17,2.62,-2.73,12.42,,14.92,23.94,16.89,,-2.75,-30.98,-31.38,,,,,,,,,
JPMORGAN-FUNDS-EUROPE-SUSTAINABLE-EQUITY-FUND-A-EUR-ACC-Fonds-LU1529808336,179015010,A2DHD7,LU1529808336,5.0,1.79,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",255.18,-1.07,2.31,10.44,,15.11,25.93,17.87,,-4.45,-35.26,-35.26,,,,,,,,,
JPMORGAN-FUNDS-EUROPE-SUSTAINABLE-EQUITY-FUND-C-EUR-ACC-Fonds-LU1529809060,179015011,A2DHD9,LU1529809060,0.0,0.75,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",255.18,-0.98,3.37,13.91,,15.15,25.93,17.87,,-4.39,-35.21,-35.21,,,,,,,,,
JPMORGAN-FUNDS-EUROPE-SUSTAINABLE-EQUITY-FUND-I-EUR-ACC-Fonds-LU1529809227,179015012,A2DHEB,LU1529809227,0.0,0.71,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",255.18,-0.98,3.41,14.05,,15.14,25.94,17.87,,-4.38,-35.21,-35.21,,,,,,,,,
LOMBARD-ODIER-FUNDS-GLOBAL-RESPONSIBLE-EQUITY-N-USD-ACC-Fonds-LU1490631709,184964990,A2DJ5J,LU1490631709,5.0,1.16,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",18.46,1.51,-0.83,13.58,,11.09,27.35,18.26,,-2.07,-35.08,-35.08,,,,,,,,,
ROBECO-QI-GLOBAL-SUSTAINABLE-CONSERVATIVE-EQUITIES-F-EUR-ACC-Fonds-LU1520982197,180589463,A2DJLW,LU1520982197,0.0,0.71,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",94.73,0.81,-9.31,8.83,,9.82,24.05,16.09,,-2.67,-34.0,-34.0,,,,,,,,,
ROBECO-QI-GLOBAL-SUSTAINABLE-CONSERVATIVE-EQUITIES-D-EUR-ACC-Fonds-LU1520981892,180589464,A2DJLX,LU1520981892,5.0,1.21,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",94.73,0.77,-9.77,7.2,,9.86,24.05,16.09,,-2.68,-34.02,-34.02,,,,,,,,,
CHAMPION-ETHICAL-EQUITY-FUND-GOBAL-USD-ACC-Fonds-LI0348132080,180859826,A2DJTG,LI0348132080,1.0,1.31,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",23.35,-1.46,5.76,38.91,,15.44,38.57,32.88,,-4.18,-25.82,-25.82,,,,,,,,,
CHAMPION-ETHICAL-EQUITY-FUND-GOBAL-CHF-ACC-Fonds-LI0348132148,180859828,A2DJTH,LI0348132148,1.0,1.22,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",23.35,-1.54,5.59,38.16,,14.49,35.93,32.35,,-3.78,-27.14,-27.14,,,,,,,,,
CHAMPION-ETHICAL-EQUITY-FUND-GOBAL-EUR-ACC-Fonds-LI0348132296,180859829,A2DJTJ,LI0348132296,1.0,1.29,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",23.35,-1.38,5.73,38.32,,13.45,35.19,31.56,,-4.03,-26.94,-26.94,,,,,,,,,
LOMBARD-ODIER-FUNDS-GLOBAL-RESPONSIBLE-EQUITY-P-EUR-ACC-H-Fonds-LU1540722847,185820909,A2DJZ4,LU1540722847,5.0,1.94,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",18.46,0.59,5.83,-0.24,,11.13,27.39,18.29,,-2.11,-35.45,-37.88,,,,,,,,,
